step,timestamp,target[0],actual[0],error[0],P[0],I[0],D[0],integral[0],output[0],target[1],actual[1],error[1],P[1],I[1],D[1],integral[1],output[1]
112,0.226,-0,-2.88122e-05,2.88122e-05,0.000288122,0,-0.000511855,1.71117e-05,-0.000223733,0,0.00117044,-0.00117044,-0.0117044,-0,-0.000308639,-4.00586e-05,-0.012013
113,0.228,-0,7.82687e-05,-7.82687e-05,-0.000782687,0,-0.000535405,1.70622e-05,-0.00131809,0,0.00123931,-0.00123931,-0.0123931,-0,-0.000344365,-4.24683e-05,-0.0127375
114,0.23,-0,0.000193543,-0.000193543,-0.00193543,0,-0.000576373,1.67904e-05,-0.00251181,0,0.00130966,-0.00130966,-0.0130966,-0,-0.000351759,-4.50173e-05,-0.0134484
115,0.232,-0,0.000320527,-0.000320527,-0.00320527,0,-0.000634921,1.62764e-05,-0.00384019,0,0.00138965,-0.00138965,-0.0138965,-0,-0.000399963,-4.77166e-05,-0.0142965
116,0.234,-0,0.000452025,-0.000452025,-0.00452025,0,-0.00065749,1.55038e-05,-0.00517774,0,0.00148524,-0.00148524,-0.0148524,-0,-0.000477934,-5.05915e-05,-0.0153303
117,0.236,-0,0.000590395,-0.000590395,-0.00590395,0,-0.000691849,1.44614e-05,-0.0065958,0,0.00158379,-0.00158379,-0.0158379,-0,-0.000492767,-5.36605e-05,-0.0163307
118,0.238,-0,0.000752463,-0.000752463,-0.00752463,0,-0.000810339,1.31185e-05,-0.00833497,0,0.00170471,-0.00170471,-0.0170471,-0,-0.000604575,-5.6949e-05,-0.0176517
119,0.24,-0,0.000921589,-0.000921589,-0.00921589,0,-0.000845628,1.14445e-05,-0.0100615,0,0.00179941,-0.00179941,-0.0179941,-0,-0.0004735,-6.04531e-05,-0.0184676
120,0.242,-0,0.00112852,-0.00112852,-0.0112852,0,-0.00103467,9.39436e-06,-0.0123199,0,0.00191647,-0.00191647,-0.0191647,-0,-0.000585291,-6.4169e-05,-0.01975
121,0.244,-0,0.00135025,-0.00135025,-0.0135025,0,-0.00110865,6.91559e-06,-0.0146112,0,0.00197166,-0.00197166,-0.0197166,-0,-0.000275949,-6.80572e-05,-0.0199925
122,0.246,-0,0.00163576,-0.00163576,-0.0163576,0,-0.00142753,3.92958e-06,-0.0177851,0,0.00205955,-0.00205955,-0.0205955,-0,-0.00043946,-7.20884e-05,-0.021035
