step,timestamp,target[0],actual[0],error[0],P[0],I[0],D[0],integral[0],output[0],target[1],actual[1],error[1],P[1],I[1],D[1],integral[1],output[1],target[2],actual[2],error[2],P[2],I[2],D[2],integral[2],output[2]
208,0.418,-0.120841,-3.81369,3.69284,1.84642,-0,27.2671,-0.681414,10,-0.624757,-4.34796,3.7232,1.8616,-0,26.7768,-0.594789,10,0.745598,-3.48129,4.22689,2.11344,-0,28.7444,-0.653841,10
209,0.42,-0.0836907,7.55015,-7.63384,-3.81692,-0,-28.3167,-0.685355,-10,-0.656546,5.91734,-6.57389,-3.28694,-0,-25.7427,-0.597639,-10,0.740237,6.92298,-6.18274,-3.09137,-0,-26.0241,-0.655797,-10
210,0.422,-0.0192892,-3.40332,3.38404,1.69202,-0,27.5447,-0.689605,10,-0.683173,-4.76078,4.07761,2.0388,-0,26.6287,-0.600136,10,0.702463,-4.41975,5.12221,2.56111,-0,28.2624,-0.656858,10
211,0.424,0.0303949,5.1484,-5.11801,-2.559,-0,-21.2551,-0.691339,-10,-0.710947,4.34109,-5.05204,-2.52602,-0,-22.8241,-0.60111,-10,0.680552,4.78872,-4.10817,-2.05408,-0,-23.076,-0.655844,-10
212,0.426,0.0461007,-5.738,5.78411,2.89205,-0,27.2553,-0.690673,10,-0.715507,-6.45623,5.74072,2.87036,-0,26.9819,-0.600421,10,0.669406,-6.45325,7.12265,3.56133,-0,28.0771,-0.652829,10
213,0.428,0.0730497,4.52969,-4.45664,-2.22832,-0,-25.6019,-0.689346,-10,-0.731859,4.1107,-4.84256,-2.42128,-0,-26.4582,-0.599523,-10,0.658809,3.55858,-2.89977,-1.44988,-0,-25.056,-0.648606,-10
214,0.43,0.118168,-6.31371,6.43188,3.21594,-0,27.2213,-0.68737,10,-0.775243,-6.72771,5.95247,2.97623,-0,26.9876,-0.598413,10,0.657074,-8.12093,8.77801,4.389,-0,29.1944,-0.642728,10
215,0.432,0.150802,4.91769,-4.76689,-2.38344,-0,-27.9969,-0.685705,-10,-0.803543,3.85613,-4.65967,-2.32984,-0,-26.5304,-0.59712,-10,0.652741,2.82918,-2.17644,-1.08822,-0,-27.3861,-0.636126,-10
216,0.434,0.201762,-13.7906,13.9924,6.99618,-0,46.8981,-0.67648,10,-0.833953,-4.71009,3.87614,1.93807,-0,21.3395,-0.597904,10,0.63219,-15.6369,16.2691,8.13453,-0,46.1137,-0.622034,10
217,0.436,0.211446,-1.95769,2.16914,1.08457,-0,-29.558,-0.660318,-10,-0.817868,5.46976,-6.28763,-3.14381,-0,-25.4094,-0.600315,-10,0.606422,2.88136,-2.27494,-1.13747,-0,-46.36,-0.60804,-10
218,0.438,0.210279,-10.695,10.9053,5.45266,-0,21.8405,-0.647244,10,-0.829679,-3.86506,3.03538,1.51769,-0,23.3075,-0.603568,10,0.6194,-15.5506,16.17,8.08498,-0,46.1122,-0.594145,10
219,0.44,0.166567,-0.372095,0.538662,0.269331,-0,-25.9167,-0.6358,-10,-0.806699,6.87283,-7.67953,-3.83976,-0,-26.7873,-0.608212,-10,0.640132,2.92559,-2.28546,-1.14273,-0,-46.1385,-0.58026,-10
220,0.442,0.121621,-10.3019,10.4235,5.21177,-0,24.7122,-0.624838,10,-0.818102,-2.85235,2.03425,1.01713,-0,24.2844,-0.613857,10,0.69648,-15.5239,16.2204,8.11018,-0,46.2645,-0.566325,10
