step,timestamp,target[0],actual[0],error[0],P[0],I[0],D[0],integral[0],output[0],target[1],actual[1],error[1],P[1],I[1],D[1],integral[1],output[1]
168,0.338,0,0.00767348,-0.00767348,-0,-0,-0,-5.00309e-05,-0,0,0.00754818,-0.00754818,-0,0,-0,0.00020276,0
169,0.34,0,0.000337363,-0.000337363,-0,-0,0,-5.80417e-05,0,0,0.0222116,-0.0222116,-0,0,-0,0.000173,0
170,0.342,0,0.000687621,-0.000687621,-0,-0,-0,-5.90667e-05,-0,0,0.0166399,-0.0166399,-0,0,0,0.000134148,0
171,0.344,0,0.0168144,-0.0168144,-0,-0,-0,-7.65687e-05,-0,0,-0.00479838,0.00479838,0,0,0,0.000122307,0
172,0.346,0,-0.00341841,0.00341841,0,-0,0,-8.99646e-05,0,0,-0.00120571,0.00120571,0,0,-0,0.000128311,0
173,0.348,0,0.0116461,-0.0116461,-0,-0,-0,-9.81923e-05,-0,0,-0.0201509,0.0201509,0,0,0,0.000149667,0
174,0.35,0,0.00176065,-0.00176065,-0,-0,0,-0.000111599,0,0,-0.00892962,0.00892962,0,0,-0,0.000178748,0
175,0.352,0,-0.010363,0.010363,0,-0,0,-0.000102997,0,0,-0.0187262,0.0187262,0,0,0,0.000206404,0
176,0.354,0,-0.0173032,0.0173032,0,-0,0,-7.53305e-05,0,0,-0.00633128,0.00633128,0,0,-0,0.000231461,0
177,0.356,0,-0.0188441,0.0188441,0,-0,0,-3.91832e-05,0,0,0.00800839,-0.00800839,-0,0,-0,0.000229784,0
178,0.358,0,-0.00423122,0.00423122,0,-0,-0,-1.61079e-05,0,0,0.0072927,-0.0072927,-0,0,0,0.000214483,0
