step,timestamp,target,actual,error,P,I,D,integral,output
320,0.642,0,-0.0688944,0.0688944,0,0,0,0.0120796,0
321,0.644,0,0.06497,-0.06497,-0,0,-0,0.0120835,0
322,0.646,0,-0.0672967,0.0672967,0,0,0,0.0120859,0
323,0.648,0,0.0669466,-0.0669466,-0,0,-0,0.0120862,0
324,0.65,0,-0.0657182,0.0657182,0,0,0,0.012085,0
325,0.652,0,0.0690124,-0.0690124,-0,0,-0,0.0120817,0
326,0.654,0,-0.0648565,0.0648565,0,0,0,0.0120775,0
327,0.656,0,0.0709842,-0.0709842,-0,0,-0,0.0120714,0
328,0.658,0,-0.063237,0.063237,0,0,0,0.0120637,0
329,0.66,0,0.0622379,-0.0622379,-0,0,-0,0.0120647,0
330,0.662,0,-0.07229,0.07229,0,0,0,0.0120747,0
331,0.664,0,0.062077,-0.062077,-0,0,-0,0.0120849,0
332,0.666,0,-0.0726569,0.0726569,0,0,0,0.0120955,0
333,0.668,0,0.061703,-0.061703,-0,0,-0,0.0121065,0
334,0.67,0,-0.07298,0.07298,0,0,0,0.0121177,0
335,0.672,0,0.0614096,-0.0614096,-0,0,-0,0.0121293,0
336,0.674,0,-0.0731596,0.0731596,0,0,0,0.0121411,0
337,0.676,0,0.0614183,-0.0614183,-0,0,-0,0.0121528,0
338,0.678,0,-0.0727735,0.0727735,0,0,0,0.0121641,0
339,0.68,0,0.0621511,-0.0621511,-0,0,-0,0.0121748,0
340,0.682,0,-0.0741665,0.0741665,0,0,0,0.0121868,0
341,0.684,0,0.0614202,-0.0614202,-0,0,-0,0.0121995,0
342,0.686,0,-0.0717296,0.0717296,0,0,0,0.0122098,0
343,0.688,0,0.0491602,-0.0491602,-0,0,-0,0.0122324,0
344,0.69,0,-0.0849193,0.0849193,0,0,0,0.0122682,0
345,0.692,0,0.0492987,-0.0492987,-0,0,-0,0.0123038,0
346,0.694,0,-0.082936,0.082936,0,0,0,0.0123374,0
347,0.696,0,0.0514416,-0.0514416,-0,0,-0,0.0123689,0
348,0.698,0,-0.0801472,0.0801472,0,0,0,0.0123976,0
349,0.7,0,0.0546298,-0.0546298,-0,0,-0,0.0124231,0
350,0.702,0,-0.0759791,0.0759791,0,0,0,0.0124445,0
351,0.704,0,0.0585936,-0.0585936,-0,0,-0,0.0124619,0
352,0.706,0,-0.0719046,0.0719046,0,0,0,0.0124752,0
353,0.708,0,0.0623427,-0.0623427,-0,0,-0,0.0124848,0
354,0.71,0,-0.0681382,0.0681382,0,0,0,0.0124905,0
355,0.712,0,0.0657572,-0.0657572,-0,0,-0,0.0124929,0
356,0.714,0,-0.0648372,0.0648372,0,0,0,0.012492,0
357,0.716,0,0.0685901,-0.0685901,-0,0,-0,0.0124883,0
358,0.718,0,-0.0622842,0.0622842,0,0,0,0.0124819,0
359,0.72,0,0.0709379,-0.0709379,-0,0,-0,0.0124733,0
360,0.722,0,-0.0599108,0.0599108,0,0,0,0.0124623,0
361,0.724,0,0.0731913,-0.0731913,-0,0,-0,0.012449,0
362,0.726,0,-0.0577502,0.0577502,0,0,0,0.0124335,0
363,0.728,0,0.0751698,-0.0751698,-0,0,-0,0.0124161,0
364,0.73,0,-0.0569014,0.0569014,0,0,0,0.0123979,0
365,0.732,0,0.075908,-0.075908,-0,0,-0,0.0123789,0
366,0.734,0,-0.0546825,0.0546825,0,0,0,0.0123576,0
367,0.736,0,0.078079,-0.078079,-0,0,-0,0.0123342,0
368,0.738,0,-0.0531273,0.0531273,0,0,0,0.0123093,0
369,0.74,0,0.0801855,-0.0801855,-0,0,-0,0.0122822,0
370,0.742,0,-0.0518216,0.0518216,0,0,0,0.0122539,0
371,0.744,0,0.0811021,-0.0811021,-0,0,-0,0.0122246,0
372,0.746,0,-0.0518716,0.0518716,0,0,0,0.0121953,0
373,0.748,0,0.070253,-0.070253,-0,0,-0,0.012177,0
374,0.75,0,-0.0626878,0.0626878,0,0,0,0.0121694,0
375,0.752,0,0.0679753,-0.0679753,-0,0,-0,0.0121641,0
376,0.754,0,-0.0645409,0.0645409,0,0,0,0.0121607,0
377,0.756,0,0.0660419,-0.0660419,-0,0,-0,0.0121592,0
378,0.758,0,-0.0661251,0.0661251,0,0,0,0.0121593,0
379,0.76,0,0.0647252,-0.0647252,-0,0,-0,0.0121607,0
380,0.762,0,-0.0669458,0.0669458,0,0,0,0.0121629,0
381,0.764,0,0.0637871,-0.0637871,-0,0,-0,0.012166,0
382,0.766,0,-0.0679896,0.0679896,0,0,0,0.0121702,0
383,0.768,0,0.0621109,-0.0621109,-0,0,-0,0.0121761,0
384,0.77,0,-0.0699736,0.0699736,0,0,0,0.012184,0
385,0.772,0,0.0593009,-0.0593009,-0,0,-0,0.0121947,0
386,0.774,0,-0.0731849,0.0731849,0,0,0,0.0122085,0
387,0.776,0,-0.00273907,0.00273907,0,0,-0,0.0122845,0
